연번,요일구분,호선,역번호,출발역,상하구분,05시-06시,06시-07시,07시-08시,08시-09시,09시-10시,10시-11시,11시-12시,12시-13시,13시-14시,14시-15시,15시-16시,16시-17시,17시-18시,18시-19시,19시-20시,20시-21시,21시-22시,22시-23시,23시-00시,00시-01시
1554,일요일,7,2724,사가정,상선,11.5,11.75,14.15,21.95,26.1,23.75,20.4,25.05,28.1,32.8,39.8,47.55,49.3,49.6,45.2,47.9,41.2,32.7,12.45,
1555,일요일,7,2725,용마산,상선,11.35,11.95,13.8,21.2,25.9,23.35,20.4,25.95,28.25,34.3,42.05,49.15,54.7,52.75,47.6,51.15,44,35.55,13.75,
1556,일요일,7,2726,중곡,상선,11.35,11.95,14,22.1,26.8,23.45,21.75,27,29.7,35.45,43.9,50.9,55.25,54.4,48.6,52.25,45.8,36.2,14.25,
1557,일요일,7,2727,군자,상선,11.25,12.3,14.45,22.4,27.2,23.95,21.7,27.6,29.5,38.25,45.4,53.1,57.65,56.85,50.6,54.7,48.85,36.4,15.1,
1558,일요일,7,2728,어린이대공원,상선,11.05,11.75,12.4,19,25.2,22.05,21.85,26.55,30.1,37.7,47.5,53.75,57.45,58.7,51.9,55.75,51.45,39.4,16.2,
1559,일요일,7,2729,건대입구,상선,10.45,11.65,12.55,19.8,25.6,23.65,23.2,27.8,32.25,38.8,47.2,52.95,57.2,58.7,53.6,57.65,53.35,40.8,17.45,
1560,일요일,7,2730,자양(뚝섬한강공원),상선,8.25,10.05,11.4,19.1,24.9,28.2,29.15,33.3,34.7,41.35,45.2,51.55,55.25,52.4,43.9,44.75,40.4,31.6,8.05,
1561,일요일,7,2731,청담,상선,7.65,9.8,10.75,18.85,24.65,27.4,30.25,34.55,36.8,42.7,45.9,48.45,50.4,43.25,35.45,38.4,33.3,27.05,7.3,
1562,일요일,7,2732,강남구청,상선,10.05,9.65,11.55,21.15,26.6,30.45,31.2,34.4,37.35,42.05,45.7,45.45,47.95,41.65,33.95,37.15,31.45,26.5,8.2,
1563,일요일,7,2733,학동,상선,12.55,10.4,13.05,24.85,31.6,33.35,35.45,37.25,40.2,42.85,44.85,43.5,44.85,38.7,33.95,31.35,28.6,24.3,8.5,
1564,일요일,7,2734,논현,상선,13.75,10.9,14.15,26.75,35.1,36.3,37.15,39.4,41.55,42.9,44.2,42.9,42.6,37.1,33.25,30.1,27.85,22.8,6.85,
1565,일요일,7,2735,반포,상선,13.2,10.45,14.25,27.75,37,37.05,38.05,39.45,41.1,41,41.8,41.55,39.05,34.25,30.5,27.2,23.8,19.25,3.65,
1566,일요일,7,2736,고속터미널,상선,14.2,10.7,14.3,29.05,37.8,37.7,38.05,39.55,40.4,40.5,41.05,40.35,37.9,32.95,29.8,26.45,22.9,19,3.75,
1567,일요일,7,2737,내방,상선,20.15,14.9,21.4,42.7,50.9,50.45,47.45,51.5,52.2,45.9,44.15,40.75,36,28.45,22.65,19.75,16,14.55,3.2,
1568,일요일,7,2738,총신대입구,상선,25,15.3,20.7,45.35,51.75,50.45,48.05,49.95,50.9,44.25,42.8,40.8,35.1,27.65,21.85,19.45,15.3,14.6,4.1,
1569,일요일,7,2739,남성,상선,24.7,15.15,21.55,45.2,53.35,48.1,44.65,45.85,44.9,39.05,36.25,33.85,27.55,21.45,17.15,14.85,11,9.75,3.15,
1570,일요일,7,2740,숭실대입구,상선,22.85,14.05,20.65,42.25,51.15,44.6,41.35,44.3,40.95,36.8,34.35,32.6,27.35,19.9,17.7,14.1,11.2,9.65,2.1,
1571,일요일,7,2741,상도,상선,21.6,12.95,19.75,40.5,46.95,41.4,37,40,38,34.7,32.65,29.5,26,19.3,17.05,13.9,11.2,9.4,2.6,
