사용월,호선명,지하철역,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원
202503,경춘선,강촌,379,71,379,147,492,370,670,1736,714,1986,696,1441,1010,1917,984,969,1111,885,1814,1017,2254,696,2034,917,1426,690,847,710,451,517,292,398,259,404,88,331,39,280,7,73
202503,경춘선,굴봉산,84,2,48,8,133,73,192,195,206,279,199,550,261,423,314,253,279,264,325,221,402,216,327,181,222,205,110,189,108,104,66,101,25,57,6,59,13,43,0,12
202503,경춘선,금곡,1757,294,2142,1020,5055,2343,4494,5884,3503,2376,2914,1810,3128,1647,2987,2330,2863,1849,2346,2448,2897,2390,2892,2944,3432,3968,3631,4409,1322,3859,999,1690,606,1945,436,1551,195,1074,8,251
202503,경춘선,김유정,180,9,316,120,724,684,643,1084,587,700,625,1141,668,1478,746,1608,1019,1028,1152,958,1441,743,1346,815,1502,898,1184,630,345,574,308,405,138,275,106,286,40,210,15,72
202503,경춘선,남춘천,1710,33,3649,980,4633,2724,6291,6195,6939,6580,6362,4724,6020,8693,6311,8661,7891,6429,7932,5161,9530,6652,8672,6410,7595,6596,6047,7481,4656,8969,3604,4422,3287,4553,2038,5104,824,2522,7,2111
202503,경춘선,대성리,3848,125,4502,344,2086,809,1973,850,2781,684,3646,1226,3127,1206,1211,1276,1100,3161,1110,8028,1189,3809,1429,3755,1456,3133,775,1824,511,1649,250,719,250,381,256,333,131,292,5,20
202503,경춘선,마석,1293,452,8835,2821,15513,5818,14251,6391,10120,5488,8708,4256,7322,5226,7558,5623,6972,6653,6612,7038,6977,7706,7741,8323,7064,12476,6570,12284,3456,10960,2687,7290,2059,5577,1548,5181,602,2242,29,903
202503,경춘선,백양리,58,3,50,16,51,197,77,225,71,200,226,352,317,319,224,259,277,154,264,272,251,130,233,148,333,72,211,93,52,32,30,49,24,38,14,20,12,22,1,8
202503,경춘선,별내,1192,564,2837,1599,8051,3950,7618,5888,5075,3316,4092,3358,3691,2731,4060,2650,4051,3118,4215,3030,4163,4161,5356,3878,5456,6022,6194,6801,3169,6488,2141,3180,2000,2173,1609,2475,842,1257,49,381
202503,경춘선,사릉,1732,576,3712,1547,9739,4296,7651,4255,5107,2346,4041,2228,3541,2282,3556,2495,3257,2105,2599,2675,2804,3108,3356,3609,4234,5334,4667,7919,1924,7361,1261,3472,933,2773,528,2476,175,1707,14,392
202503,경춘선,상천,365,43,351,203,582,269,680,735,624,672,620,767,691,640,616,588,647,474,796,789,796,633,930,523,655,509,376,503,179,540,96,227,59,280,24,117,16,95,0,29
202503,경춘선,신내,1458,509,5210,2663,12950,6058,10517,9640,5369,2754,4290,2552,3881,2465,3876,2463,3711,3298,3621,2828,4067,4697,4749,3913,5719,7178,7338,9345,3157,6765,1847,3960,1600,3079,1260,2783,699,2107,92,643
202503,경춘선,천마산,960,153,3253,679,7459,1532,6226,1974,5050,1708,4002,1363,2841,1643,2918,1830,2489,2040,2497,2433,1938,3222,2220,3311,1920,4812,1777,4171,860,5032,645,3227,530,2397,240,1760,112,1127,3,265
202503,경춘선,청평,962,229,2540,1093,4388,1661,5013,3612,4103,4572,4073,3181,4334,2500,3869,3307,3449,3203,3621,3126,3966,3870,3632,4306,4570,5279,3086,4201,1466,3922,1295,2267,903,1984,498,1553,205,1172,9,266
202503,경춘선,춘천,718,11,1290,339,1903,1326,2799,4776,3214,5979,2609,4394,3047,4938,2941,4242,4529,4037,4962,2643,6852,3242,7864,2418,6288,2707,4790,2722,2839,2784,1735,1833,1264,1768,801,1386,299,1261,3,728
202503,경춘선,퇴계원,2823,497,5821,1619,17088,3356,12368,4886,9594,2829,7133,3499,5881,3147,6861,3049,5801,3930,3901,4177,4392,6025,4678,7027,4885,9135,5686,11094,2280,10873,1778,6128,1465,4521,960,5416,405,2415,24,849
202503,경춘선,평내호평,5759,726,14192,1879,29774,4686,23574,10295,13956,6819,12855,5223,11302,5718,10320,8170,9357,7402,7889,10321,8254,10278,8552,12650,9468,21932,8956,24865,5515,19555,4335,11635,4015,9125,3650,8238,1552,5731,57,2629
202503,공항철도 1호선,검암,8860,540,13836,2324,33833,7115,23314,14701,12780,5187,9614,3681,9609,3639,8916,4431,7676,5126,6506,6011,6626,7478,8054,10804,9016,14498,11030,25235,4698,22989,3771,13835,2902,12965,2072,12735,974,9854,183,5138
202503,공항철도 1호선,계양,14146,766,38313,3719,72384,5585,56480,7320,37368,7046,25839,5527,22435,6380,20612,7528,16962,10540,14397,13146,13215,17420,14857,26067,14609,34342,10780,60912,7048,54100,4826,34350,4014,31468,2759,28688,1425,17061,238,5430
202503,공항철도 1호선,공덕,1947,205,2849,1802,6573,3964,7674,12084,5057,6314,4171,4150,4331,4684,4257,4786,4230,5295,3791,5029,4157,6097,5020,7149,7170,10299,10803,14758,4938,9802,4109,6702,4048,6476,3062,5849,1497,4132,92,2218
202503,공항철도 1호선,공항화물청사,556,936,1499,7732,1994,10755,2077,17412,1697,2665,826,1749,749,3250,988,3494,1184,2354,1757,2503,2729,2747,4628,3383,10382,2864,12699,1231,3241,1361,2309,1921,2463,857,2489,396,685,188,13,89
202503,공항철도 1호선,김포공항,1789,2197,2658,11419,5762,19328,13963,16348,15806,10269,16133,9380,16568,10003,13508,10937,16693,10461,18933,9356,17200,8508,16643,9356,18973,11834,27945,9767,16125,5827,14762,2676,15724,1417,18571,1321,4663,910,177,786
202503,공항철도 1호선,디지털미디어시티,4135,802,9085,7362,22853,32085,24876,84333,14340,38882,11068,16004,11701,13013,12660,13358,14271,13904,14011,11478,16649,12467,21771,14877,49702,21579,78042,29901,32452,20832,19588,12532,17921,11356,13346,10353,6429,6666,806,3553
202503,공항철도 1호선,마곡나루(서울식물원),2803,1254,5745,13681,14845,37152,16989,78044,9791,36271,7028,13696,8188,9209,9773,9889,9811,10733,10304,10165,14560,9859,25816,11607,67983,16401,61619,19633,24801,13330,19122,8606,14105,8152,8523,7694,3371,5038,518,3149
202503,공항철도 1호선,서울역,3342,2033,4634,15742,12701,23677,18439,35481,19275,31896,24335,27049,28280,25968,29919,24084,29735,22984,23835,19837,32604,22767,32271,23128,39397,24348,39128,24632,31413,21946,22846,14336,25406,13211,18794,9692,11220,4478,212,3669
202503,공항철도 1호선,영종,3538,179,12265,1753,18097,3059,13993,3823,10153,3214,9346,2950,9223,4136,8065,4241,7083,4221,5858,5883,6374,8538,6999,9294,6901,9945,4642,17413,3018,15417,2438,9843,2329,10235,1657,9625,886,8173,157,2848
202503,공항철도 1호선,운서,18321,989,23795,8008,33802,12036,27695,12902,16996,11540,17490,6928,21647,7733,19581,10191,14806,11108,12685,13710,14227,16247,15460,18910,18197,24058,13373,35153,8323,28815,7205,25334,7347,25374,6109,25156,2579,18774,339,6304
202503,공항철도 1호선,인천공항1터미널,10349,11431,14465,19134,18284,36184,20619,32920,15994,26606,14509,28063,18818,35937,25830,44719,30237,30375,35486,25070,46466,21394,40372,21629,33432,24724,38224,18585,25453,17652,24760,11332,29877,9895,31063,7208,13555,7764,162,5537
202503,공항철도 1호선,인천공항2터미널,6613,8128,8027,13625,9891,20426,10730,18462,8426,11331,4683,11623,7520,17948,9794,21245,11036,15442,18416,12447,22006,11450,21191,10963,24927,11717,25316,6194,14434,3835,15915,3720,17239,2881,15760,2369,5916,2361,4,2749
202503,공항철도 1호선,청라국제도시,7672,315,17863,6357,34230,7752,22098,16898,14594,5007,10896,3395,12239,3423,11144,4357,9200,5800,8219,6653,8791,8105,11657,11539,15687,16266,18740,25874,6015,24912,4275,16566,3407,15966,2344,16383,1116,9492,188,4128
202503,공항철도 1호선,홍대입구,5295,465,6358,4192,11316,10984,14678,26551,14359,31159,14977,26104,16669,30077,18782,36387,21673,35789,25375,31874,30920,32654,37602,33705,45314,37414,49505,42632,40886,28983,39220,17318,42481,14058,36214,12213,16850,9771,1352,3848
202503,과천선,경마공원,476,572,1090,2976,1932,4170,2501,12062,2414,36903,2278,37923,3096,21191,3797,20126,5759,16248,8107,10324,13396,6001,21940,3841,33412,2533,69666,2326,9416,1939,2212,1328,826,1081,383,837,155,523,27,64
202503,과천선,과천,2812,402,10750,2278,28381,5751,25861,8988,17937,5908,13989,5231,12528,5308,12327,6391,11633,7192,10363,8573,10210,10743,10783,12463,10126,15825,9317,22784,5089,19317,3335,12682,2329,12651,1608,11169,636,6876,93,1411
202503,과천선,대공원,94,259,322,3289,650,4397,1142,10549,1637,15707,1809,18697,3841,11372,7536,9705,8624,9784,9783,8286,11113,4818,14212,2913,16203,1932,13033,1501,5380,982,3769,641,2849,446,400,353,113,187,19,52
202503,과천선,범계,9089,3258,41283,11300,106240,26525,88209,60955,52835,46412,41658,33128,40021,32869,43692,33370,41837,41231,39939,41062,43123,45661,49035,57367,55304,75930,61652,107625,39820,92626,40415,47792,31889,42657,25922,35881,10505,19410,1113,6934
202503,과천선,선바위,845,1530,5607,9820,15670,21373,17996,25780,14480,14906,10903,7900,10375,7593,10816,7741,11039,7680,10503,7246,12097,8238,15721,10421,25402,12667,31056,15628,13515,12034,9292,8759,6733,8016,3650,7082,1263,4014,112,764
202503,과천선,인덕원,9318,3181,31976,17075,83012,46039,73954,104439,49948,41400,39444,24197,35303,23063,37364,24921,37208,27262,33390,29507,37112,32397,44235,42786,66678,58431,85709,90062,32714,72190,26915,41461,24720,38820,15758,36217,6066,22171,687,5982
