사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
202504,2호선,당산,41,3,8592,3809,20745,14960,54424,31467,64105,82542,40459,35807,28791,18448,26925,18328,27035,21407,25658,23820,23375,24660,25497,29076,32716,36461,46880,54690,61511,81098,28944,54543,23138,37025,22035,35390,18083,32520,9724,20115,1843,5358,16,131,0,0,0,0,20250503
202504,2호선,대림(구로구청),667,33,37580,3433,32254,11160,72990,24293,100170,56121,65829,37378,43012,33845,37265,35376,40452,33560,37574,34023,34360,35486,34660,45072,37740,53190,45252,65815,51379,72521,26169,54001,19896,42645,15317,49682,10883,46468,5424,22962,846,6383,4,255,0,0,0,0,20250503
202504,2호선,도림천,0,0,475,402,1432,998,3842,5090,4045,6560,2446,2759,2527,1822,2626,1956,2478,2286,2150,1993,2565,2471,3061,2119,3544,2502,3829,3128,4262,4172,1983,3141,1306,2224,1157,1779,735,1402,237,1038,49,326,1,4,0,0,0,0,20250503
202504,2호선,동대문역사문화공원(DDP),284,13,5074,1188,4417,9873,7221,25722,14163,51775,17593,34004,20002,32756,21614,31861,25113,31049,26098,31474,28679,32108,35566,31859,41125,31095,48344,34964,49260,39825,34076,36524,27509,27590,25956,22683,19275,19098,10433,11135,2414,3925,0,111,0,0,0,0,20250503
202504,2호선,뚝섬,4,2,3654,2274,10163,17624,21339,45376,29175,153718,19063,106302,17233,51294,19968,43289,24756,43990,30986,46374,37028,41579,48145,42041,59940,41804,95658,45750,150822,57418,81857,32842,57763,17637,50545,15101,31703,13319,11488,8181,1708,2858,0,39,0,0,0,0,20250503
202504,2호선,문래,8,0,4613,2679,16505,11779,49146,44461,55156,147909,30937,66825,23151,29060,21989,23882,26792,27359,27493,29075,28933,27136,31085,29610,38955,34844,69907,44660,119681,68019,43742,45593,30930,24585,34137,22141,26984,19415,12954,11281,2340,3770,1,160,0,0,0,0,20250503
202504,2호선,방배,2,0,2584,3630,9758,13817,25008,31049,34005,87794,26094,67146,21150,38441,23345,29953,25631,31039,28889,27346,33570,27202,38781,26220,47109,26530,57974,34749,70460,39023,33470,26390,26122,17631,26031,16597,20579,16605,8319,9144,1693,2982,0,11,0,0,0,0,20250503
202504,2호선,봉천,107,10,15716,1365,31723,6890,91419,15556,132959,30724,80640,23350,45104,20835,38253,23791,39301,25788,37122,28041,33578,31661,31283,41169,33577,46979,34259,63495,34446,96800,21995,76320,18178,50179,15473,46986,11810,43410,5327,25138,1048,8493,6,607,0,0,0,0,20250503
202504,2호선,사당,118,6,13427,4505,33778,38419,90264,57577,114062,81122,82746,57726,54546,48978,50974,59380,57284,60273,60864,57076,64757,56979,65476,69593,71479,93256,87583,139335,108387,191200,75769,126284,72689,78714,79275,73561,71166,69196,38730,39990,7251,12527,3,692,0,0,0,0,20250503
202504,2호선,삼성(무역센터),113,1,4879,5982,7629,53816,16191,155791,22132,348601,23089,265488,27066,133659,41272,95782,52894,86302,71116,93290,89537,78786,114370,66558,148818,61633,250873,64793,312545,64743,163236,36630,125312,20701,102476,16641,66718,12777,16996,7069,2245,3550,0,1311,0,0,0,0,20250503
